epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.01,0.7240777723491192,0.503518799415243,0.9384855357083407,0.3632376945267661,0.5327014334614547
1,0.01,0.6437018141150475,0.5800594953542586,0.866717107368238,0.45836000452634557,0.6279821825468027
2,0.01,0.5934944339096546,0.6113940487881091,1.3161371404474431,0.512276827621037,0.6769882019439644
3,0.01,0.5629641227424145,0.6297677516909479,0.9721612207817308,0.502781718172811,0.6686469596467972
4,0.01,0.5465367063879967,0.6433641135040857,0.9445270914019961,0.4730675133990301,0.6419825267956559
5,0.01,0.5063901916146278,0.6677751416963114,2.120838938337384,0.0003180282118591666,0.000635321892199259
6,0.01,0.5064989663660526,0.6664618175981811,2.2185457041769316,0.016939198087128543,0.03246067545784472
7,0.01,0.45792200416326523,0.7001033647233182,2.5648607629718203,4.420091815799371e-11,8.840183630955888e-11
8,0.01,0.4321637060493231,0.7112571074844918,4.1668978026418975,4.420091815799371e-11,8.840183630955888e-11
9,0.01,0.4472142606973648,0.705149623833529,2.8111364696965073,4.420091815799371e-11,8.840183630955888e-11
10,0.01,0.4900752156972885,0.6754189709771151,2.467049873236454,0.00041233703827025993,0.0008232978723701624
11,0.01,0.42385883815586567,0.7186333328250026,1.6643442890860818,0.004088886002007265,0.008043124673893074
12,0.01,0.3953259624540806,0.7345392021342314,2.42409643982396,0.025978081584959487,0.048984094319800886
13,0.01,0.42397261783480644,0.7183350603828593,1.999003077998306,0.02538493828469744,0.04931214205605292
14,0.01,0.42743872106075287,0.7168377071522622,1.2208251880876946,0.19172053227663113,0.31566816526718366
15,0.01,0.41966057755053043,0.7237771288054283,1.8702844056216152,0.10760991906090216,0.19193915804775402
16,0.01,0.3910978566855192,0.7400724278995143,0.8970709334720265,0.4922432058392208,0.6579946048068557
17,0.01,0.36619439348578453,0.7557444230307923,1.2107138416983865,0.13145368982293193,0.22863259067808306
18,0.01,0.3953132051974535,0.7336808066704681,1.0316349665323894,0.31569150771796384,0.4716749832454437
19,0.01,0.36682299338281155,0.7507726528124208,2.792668154745391,0.009477601904929644,0.018326484303996977
20,0.01,0.36019282415509224,0.7577027956417088,0.7038859237324108,0.5810846912559082,0.7335219963029264
21,0.01,0.3725357484072447,0.7522519392771252,2.5371695215051826,4.420091815799371e-11,8.840183630955888e-11
22,0.01,0.354122088290751,0.7642061833248129,2.6963490572842685,0.013178887491319279,0.0253003755570654
23,0.01,0.36981649324297905,0.7528903387033407,3.1254847844441733,0.003863761697926136,0.007668719948225159
24,0.01,0.3708580918610096,0.7484050936160531,0.9711194977615819,0.4441653097583938,0.6093289656518039
25,0.01,0.34681860357522964,0.7663210935474544,1.5239239678238377,0.17101369631758997,0.2818595349072705
26,0.01,0.3670524712651968,0.7547906081642354,1.5649030353083755,0.21389062783359788,0.3483921216446776
27,0.01,0.3692425861954689,0.7494847737459881,1.6430691625132705,0.09377793147614014,0.17004854087002355
28,0.01,0.34110041335225105,0.7683864096770807,0.9060360518368807,0.49396617222971334,0.650936156150294
29,0.01,0.3585444111377001,0.757757804325352,0.9501483368151116,0.4109373023010267,0.5753439296338917
30,0.01,0.34444497898221016,0.7664255013352147,0.46023956031510327,0.6889119321549194,0.8144481477708156
31,0.01,0.31648897752165794,0.786934994401486,1.8442343365062366,0.0016726847766153508,0.0033348145993816795
32,0.01,0.3323974758386612,0.7751113963759881,0.6047408056981636,0.5878929032109408,0.7364444056826174
33,0.01,0.3949165940284729,0.7346529748214601,1.3175440990563594,0.1796122738413877,0.3003985145420063
34,0.01,0.33569276332855225,0.7732737943175884,1.0183978658733945,0.3936941935196644,0.5618709292185137
35,0.01,0.32384527660906315,0.7793154357247449,2.266077186122085,0.06876993012112868,0.12583920480770452
36,0.01,0.3269304921850562,0.7816850365449253,2.715043718164617,4.420091815799371e-11,8.840183630955888e-11
37,0.01,0.30878795962780714,0.7905238887813351,0.5457848129850446,0.6002748563570673,0.7457034203729813
38,0.01,0.32521607633680105,0.7826624298726726,0.3851349570534446,0.7493133077258985,0.8565776533305915
39,0.01,0.32660546340048313,0.7802555074454454,0.6236589605158026,0.5730406113911739,0.725263466218101
40,0.01,0.2913900800049305,0.8019080427263385,2.1423156044699927,0.0036145871191480715,0.0071327233256670815
41,0.01,0.30261637456715107,0.7935615778197178,2.2175254677281235,9.848483821054787e-05,0.00019688969005050936
42,0.01,0.28884492069482803,0.803477420758795,0.7979904304851185,0.5512416086300989,0.6998083145200102
43,0.01,0.28383175376802683,0.8056561241494447,2.0705552606871636,0.00012869973062119253,0.000257329593081469
44,0.01,0.2814395986497402,0.8043757101281335,2.8448638193535083,4.420091815799371e-11,8.840183630955888e-11
45,0.01,0.30349803902208805,0.7957976806830457,0.4656626708579786,0.7005631148553082,0.823802800366189
46,0.01,0.2910900628194213,0.8031374706037036,2.5917138692104453,4.420091815799371e-11,8.840183630955888e-11
47,0.01,0.29442932549864054,0.8008672230588199,0.7249266667799517,0.4690373493357045,0.6312138748980128
48,0.01,0.28172041196376085,0.8073599325758428,1.7988962476903743,0.21807675506526558,0.3516007706738113
49,0.01,0.3030817676335573,0.7917187325096051,0.6198872905788999,0.5581688584021639,0.7129606111843635
50,0.01,0.3035908844321966,0.7935679965481796,0.38639281103105255,0.7552531651626982,0.8601505139442027
51,0.01,0.26784392911940813,0.8177093350818979,0.37425478841319226,0.7443870683775439,0.852744517548721
52,0.01,0.2919054701924324,0.8042342207829817,0.576784504182411,0.6410516800819407,0.7810949779304772
